,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,Temp9am,RainToday,RISK_MM,RainTomorrow,year,quarter,month,day
2063,14.6,21.1,24.4,0.0,52.0,0.0,28.0,33.0,89.0,52.0,8.0,6.0,14.6,1,0.2,0,2014,4,11,16
2067,11.8,34.6,0.0,2.0,56.0,4.0,6.0,22.0,57.0,13.0,5.0,7.0,18.7,0,0.0,0,2014,4,11,20
2071,19.8,26.6,0.0,2.0,69.0,3.0,11.0,17.0,52.0,81.0,8.0,8.0,25.6,0,27.0,1,2014,4,11,24
2072,10.1,22.8,27.0,2.0,44.0,0.0,17.0,24.0,63.0,34.0,1.0,1.0,14.3,1,0.2,0,2014,4,11,25
2077,20.6,32.7,0.0,3.0,44.0,14.0,20.0,17.0,49.0,36.0,6.0,8.0,24.9,0,0.0,0,2014,4,11,30
2078,20.5,32.4,0.0,4.0,57.0,9.0,20.0,6.0,55.0,69.0,6.0,8.0,25.4,0,13.2,1,2014,4,12,1
2080,14.8,25.8,0.0,2.0,31.0,8.0,4.0,13.0,70.0,67.0,7.0,7.0,19.0,0,13.4,1,2014,4,12,3
2083,16.0,26.3,0.8,3.0,43.0,8.0,9.0,11.0,65.0,59.0,3.0,8.0,21.5,0,4.4,1,2014,4,12,6
2084,15.7,23.7,4.4,12.0,31.0,3.0,17.0,13.0,73.0,78.0,8.0,7.0,18.3,1,1.4,1,2014,4,12,7
2087,15.0,29.7,0.0,9.0,33.0,9.0,7.0,20.0,72.0,37.0,8.0,7.0,19.7,0,1.4,1,2014,4,12,10
2088,15.8,27.4,1.4,9.0,54.0,14.0,17.0,33.0,64.0,52.0,5.0,8.0,20.4,1,0.0,0,2014,4,12,11
2091,13.1,29.1,0.0,9.0,28.0,9.0,7.0,11.0,62.0,34.0,5.0,8.0,20.1,0,0.0,0,2014,4,12,14
2100,21.2,33.4,0.6,8.0,41.0,11.0,13.0,26.0,68.0,27.0,8.0,2.0,23.9,0,0.4,0,2014,4,12,23
2105,16.2,31.7,0.0,8.0,28.0,8.0,11.0,13.0,52.0,30.0,2.0,8.0,22.7,0,0.0,0,2014,4,12,28
2112,26.0,33.1,0.0,6.0,41.0,0.0,7.0,7.0,46.0,37.0,8.0,5.0,27.4,0,0.0,0,2015,1,1,4
2117,20.4,26.4,5.4,9.0,30.0,10.0,9.0,20.0,94.0,65.0,7.0,8.0,20.8,1,7.0,1,2015,1,1,9
2118,19.7,21.7,7.0,9.0,24.0,9.0,7.0,13.0,97.0,95.0,8.0,8.0,20.3,1,12.6,1,2015,1,1,10
2121,18.1,27.0,0.0,6.0,39.0,6.0,20.0,13.0,47.0,95.0,7.0,8.0,24.1,0,46.8,1,2015,1,1,13
2122,17.9,28.1,46.8,2.0,50.0,0.0,15.0,22.0,96.0,53.0,8.0,8.0,18.3,1,0.4,0,2015,1,1,14
2129,18.1,28.8,8.4,12.0,35.0,13.0,6.0,11.0,75.0,49.0,7.0,6.0,20.7,1,0.0,0,2015,1,1,21
2131,20.2,36.0,0.0,7.0,63.0,5.0,13.0,13.0,56.0,33.0,2.0,8.0,26.2,0,15.8,1,2015,1,1,23
2132,20.1,30.8,15.8,1.0,28.0,4.0,0.0,13.0,76.0,46.0,8.0,8.0,24.3,1,0.2,0,2015,1,1,24
2136,16.6,27.5,0.0,9.0,50.0,12.0,22.0,24.0,53.0,34.0,3.0,2.0,20.7,0,0.0,0,2015,1,1,28
2147,19.6,38.8,0.2,11.0,41.0,10.0,4.0,9.0,74.0,21.0,8.0,3.0,22.3,0,0.0,0,2015,1,2,8
2153,19.3,24.7,0.2,6.0,31.0,14.0,9.0,9.0,63.0,96.0,8.0,7.0,22.4,0,10.6,1,2015,1,2,14
2154,16.9,30.9,10.6,7.0,24.0,10.0,11.0,9.0,86.0,43.0,1.0,1.0,20.2,1,0.0,0,2015,1,2,15
2157,19.7,28.2,0.0,3.0,50.0,12.0,9.0,17.0,76.0,53.0,7.0,8.0,20.8,0,6.0,1,2015,1,2,18
2164,17.6,30.3,0.2,12.0,24.0,6.0,7.0,9.0,60.0,44.0,1.0,5.0,21.6,0,0.0,0,2015,1,2,25
2167,18.1,35.1,0.0,11.0,37.0,1.0,9.0,20.0,65.0,16.0,8.0,3.0,20.7,0,1.4,1,2015,1,2,28
2170,16.5,32.0,0.0,1.0,30.0,2.0,6.0,15.0,59.0,33.0,8.0,5.0,19.8,0,0.0,0,2015,1,3,3
2173,11.2,22.3,0.0,1.0,43.0,1.0,15.0,7.0,55.0,49.0,8.0,8.0,14.7,0,0.0,0,2015,1,3,6
2184,14.5,29.6,0.0,8.0,33.0,5.0,4.0,19.0,63.0,27.0,8.0,7.0,16.8,0,2.8,1,2015,1,3,17
2190,16.4,31.9,0.0,2.0,46.0,11.0,9.0,20.0,61.0,35.0,5.0,7.0,22.0,0,0.4,0,2015,1,3,23
2191,14.5,25.1,0.4,1.0,37.0,1.0,11.0,24.0,75.0,33.0,2.0,1.0,16.1,0,0.0,0,2015,1,3,24
2193,7.8,19.4,0.0,1.0,46.0,0.0,13.0,22.0,58.0,33.0,8.0,2.0,12.9,0,0.0,0,2015,1,3,26
2200,15.1,26.4,0.0,1.0,37.0,1.0,6.0,26.0,57.0,23.0,8.0,6.0,21.3,0,0.0,0,2015,2,4,2
2202,11.5,23.8,0.0,14.0,30.0,6.0,6.0,11.0,57.0,51.0,7.0,8.0,16.3,0,0.6,0,2015,2,4,4
2204,10.8,21.1,0.0,10.0,26.0,12.0,6.0,9.0,68.0,44.0,7.0,6.0,15.6,0,8.8,1,2015,2,4,6
2205,11.8,19.9,8.8,7.0,37.0,0.0,6.0,19.0,83.0,60.0,7.0,8.0,14.2,1,4.0,1,2015,2,4,7
2209,8.2,23.7,0.0,0.0,19.0,2.0,4.0,4.0,66.0,42.0,4.0,1.0,16.0,0,0.0,0,2015,2,4,11
2212,10.3,21.8,0.0,9.0,24.0,9.0,6.0,19.0,77.0,53.0,7.0,8.0,14.1,0,3.0,1,2015,2,4,14
2213,12.7,24.2,3.0,8.0,39.0,12.0,9.0,13.0,85.0,62.0,8.0,6.0,16.1,1,1.4,1,2015,2,4,15
2215,15.1,17.7,0.2,8.0,19.0,12.0,9.0,6.0,82.0,98.0,8.0,8.0,15.8,0,35.8,1,2015,2,4,17
2216,15.2,19.9,35.8,1.0,35.0,1.0,9.0,13.0,94.0,98.0,8.0,8.0,17.5,1,15.8,1,2015,2,4,18
2217,9.9,17.4,15.8,9.0,35.0,13.0,20.0,17.0,71.0,49.0,3.0,7.0,12.6,1,0.2,0,2015,2,4,19
2221,12.7,24.0,0.2,12.0,30.0,10.0,6.0,9.0,83.0,53.0,8.0,8.0,15.2,0,3.6,1,2015,2,4,23
2222,15.2,20.0,3.6,5.0,26.0,11.0,7.0,17.0,94.0,56.0,8.0,8.0,16.0,1,7.0,1,2015,2,4,24
2223,10.0,16.0,7.0,9.0,26.0,12.0,7.0,15.0,97.0,71.0,8.0,5.0,12.8,1,2.6,1,2015,2,4,25
2224,7.1,19.7,2.6,0.0,37.0,1.0,4.0,24.0,100.0,48.0,8.0,5.0,9.2,1,0.2,0,2015,2,4,26
2225,5.8,17.8,0.2,2.0,28.0,4.0,9.0,7.0,78.0,47.0,1.0,5.0,11.2,0,0.0,0,2015,2,4,27
2233,5.5,20.5,0.0,11.0,65.0,1.0,6.0,35.0,86.0,36.0,8.0,8.0,11.9,0,0.0,0,2015,2,5,5
2235,6.7,14.7,0.2,0.0,35.0,1.0,19.0,19.0,84.0,58.0,8.0,6.0,9.7,0,0.0,0,2015,2,5,7
2236,6.1,13.8,0.0,0.0,28.0,11.0,9.0,11.0,74.0,62.0,8.0,8.0,10.1,0,0.8,0,2015,2,5,8
2237,9.9,15.4,0.8,11.0,39.0,1.0,15.0,24.0,91.0,71.0,8.0,8.0,11.8,0,2.8,1,2015,2,5,9
2238,10.4,14.3,2.8,1.0,72.0,1.0,19.0,30.0,87.0,83.0,8.0,8.0,10.6,1,9.2,1,2015,2,5,10
2239,9.9,18.0,9.2,0.0,50.0,0.0,26.0,28.0,97.0,52.0,8.0,8.0,12.4,1,0.8,0,2015,2,5,11
2240,11.2,17.2,0.8,0.0,44.0,4.0,20.0,24.0,91.0,64.0,8.0,8.0,12.2,0,0.6,0,2015,2,5,12
2241,4.5,13.5,0.6,0.0,43.0,2.0,19.0,31.0,79.0,48.0,5.0,2.0,6.1,0,0.0,0,2015,2,5,13
2247,6.7,17.4,3.4,0.0,57.0,15.0,2.0,13.0,95.0,95.0,8.0,8.0,10.4,1,12.8,1,2015,2,5,19
2248,10.3,17.6,12.8,1.0,26.0,11.0,11.0,17.0,89.0,69.0,8.0,8.0,14.9,1,0.0,0,2015,2,5,20
2255,5.7,14.7,0.2,8.0,20.0,8.0,0.0,17.0,100.0,74.0,7.0,8.0,8.8,0,3.2,1,2015,2,5,27
2256,7.4,18.7,3.2,6.0,33.0,6.0,15.0,20.0,96.0,70.0,8.0,4.0,11.7,1,11.2,1,2015,2,5,28
2257,9.1,15.8,11.2,1.0,30.0,2.0,0.0,13.0,100.0,64.0,1.0,7.0,11.0,1,0.0,0,2015,2,5,29
2258,5.0,15.4,0.0,1.0,31.0,11.0,2.0,19.0,95.0,52.0,8.0,8.0,8.8,0,0.0,0,2015,2,5,30
2259,8.4,14.5,0.0,11.0,33.0,11.0,6.0,17.0,80.0,64.0,8.0,7.0,9.6,0,2.4,1,2015,2,5,31
2263,-1.2,9.9,0.2,6.0,17.0,13.0,4.0,11.0,99.0,76.0,8.0,8.0,2.6,0,6.4,1,2015,2,6,4
2266,2.3,10.9,0.0,14.0,15.0,13.0,7.0,7.0,100.0,81.0,8.0,6.0,5.0,0,0.2,0,2015,2,6,7
2268,4.3,15.0,0.0,0.0,37.0,2.0,19.0,19.0,83.0,50.0,8.0,2.0,12.2,0,0.0,0,2015,2,6,9
2272,0.3,15.3,0.0,5.0,11.0,13.0,0.0,7.0,100.0,67.0,7.0,6.0,5.1,0,0.0,0,2015,2,6,13
2273,2.4,15.7,0.0,14.0,15.0,14.0,0.0,9.0,100.0,72.0,2.0,6.0,6.1,0,0.2,0,2015,2,6,14
2274,1.8,14.0,0.2,13.0,17.0,13.0,0.0,6.0,100.0,70.0,4.0,8.0,5.9,0,14.6,1,2015,2,6,15
2275,5.9,14.4,14.6,13.0,19.0,5.0,6.0,6.0,100.0,100.0,8.0,8.0,11.3,1,11.6,1,2015,2,6,16
2276,11.3,12.6,11.6,0.0,20.0,2.0,2.0,6.0,100.0,100.0,8.0,8.0,12.2,1,22.4,1,2015,2,6,17
2277,9.9,11.1,22.4,9.0,15.0,16.0,0.0,0.0,100.0,100.0,8.0,8.0,10.4,1,16.4,1,2015,2,6,18
2283,7.0,14.0,7.2,13.0,15.0,9.0,2.0,11.0,100.0,91.0,8.0,8.0,9.8,1,1.0,0,2015,2,6,24
2284,8.2,13.4,1.0,9.0,17.0,6.0,11.0,7.0,100.0,76.0,8.0,4.0,8.8,0,0.2,0,2015,2,6,25
2286,2.3,13.2,0.0,0.0,19.0,12.0,0.0,6.0,100.0,68.0,7.0,5.0,6.1,0,0.2,0,2015,2,6,27
2287,5.6,12.4,0.2,5.0,20.0,8.0,0.0,7.0,90.0,65.0,1.0,1.0,7.3,0,0.0,0,2015,2,6,28
2289,1.0,8.6,0.0,2.0,15.0,2.0,9.0,7.0,99.0,85.0,8.0,8.0,5.0,0,0.0,0,2015,2,6,30
2293,1.1,11.6,0.0,0.0,24.0,0.0,0.0,13.0,94.0,56.0,8.0,8.0,2.6,0,0.0,0,2015,3,7,4
2294,0.7,11.8,0.0,9.0,13.0,11.0,0.0,6.0,91.0,59.0,8.0,8.0,3.6,0,0.0,0,2015,3,7,5
2295,3.6,10.0,0.0,2.0,17.0,2.0,0.0,9.0,84.0,70.0,8.0,8.0,8.2,0,0.0,0,2015,3,7,6
2298,-0.5,13.2,0.0,12.0,17.0,12.0,0.0,11.0,92.0,61.0,3.0,2.0,3.3,0,1.8,1,2015,3,7,9
2299,3.3,14.2,1.8,3.0,24.0,6.0,6.0,13.0,94.0,69.0,8.0,8.0,9.0,1,2.4,1,2015,3,7,10
2300,8.0,13.9,2.4,6.0,43.0,5.0,13.0,19.0,85.0,80.0,7.0,8.0,11.2,1,5.4,1,2015,3,7,11
2301,5.1,11.3,5.4,0.0,30.0,0.0,6.0,17.0,95.0,81.0,8.0,8.0,5.9,1,2.8,1,2015,3,7,12
2304,4.4,6.8,10.0,3.0,30.0,9.0,13.0,11.0,96.0,93.0,8.0,8.0,4.7,1,4.4,1,2015,3,7,15
2310,-0.3,15.9,0.0,6.0,28.0,3.0,0.0,19.0,95.0,56.0,8.0,7.0,4.6,0,3.0,1,2015,3,7,21
2311,4.5,13.5,3.0,6.0,48.0,5.0,20.0,19.0,89.0,83.0,8.0,8.0,10.4,1,2.8,1,2015,3,7,22
2314,6.5,13.6,5.8,11.0,35.0,4.0,17.0,24.0,82.0,55.0,8.0,1.0,9.2,1,3.0,1,2015,3,7,25
2315,8.2,11.8,3.0,0.0,54.0,0.0,17.0,33.0,87.0,55.0,8.0,8.0,8.6,1,0.0,0,2015,3,7,26
2317,1.4,13.8,0.0,1.0,26.0,2.0,0.0,13.0,86.0,67.0,7.0,8.0,6.3,0,0.0,0,2015,3,7,28
2318,1.0,12.2,0.0,14.0,17.0,8.0,9.0,2.0,99.0,73.0,8.0,8.0,4.5,0,0.0,0,2015,3,7,29
2319,3.3,12.5,0.0,4.0,30.0,4.0,6.0,19.0,90.0,64.0,6.0,8.0,7.1,0,0.2,0,2015,3,7,30
2321,3.8,10.3,1.2,11.0,17.0,16.0,9.0,0.0,99.0,98.0,7.0,7.0,8.8,1,27.2,1,2015,3,8,1
2322,7.2,11.9,27.2,1.0,35.0,2.0,13.0,20.0,99.0,60.0,8.0,8.0,8.7,1,2.6,1,2015,3,8,2
2325,2.2,11.5,4.2,0.0,46.0,0.0,24.0,22.0,94.0,71.0,8.0,2.0,7.2,1,1.4,1,2015,3,8,5
2326,2.0,10.9,1.4,7.0,20.0,1.0,13.0,13.0,87.0,73.0,8.0,8.0,5.2,1,1.4,1,2015,3,8,6
2327,5.0,12.6,1.4,1.0,52.0,0.0,9.0,9.0,100.0,67.0,8.0,8.0,7.6,1,0.0,0,2015,3,8,7
2328,1.3,14.0,0.0,4.0,44.0,1.0,2.0,9.0,99.0,64.0,8.0,1.0,5.1,0,0.0,0,2015,3,8,8
2329,0.8,11.0,0.0,8.0,13.0,14.0,4.0,9.0,100.0,74.0,8.0,8.0,4.9,0,0.0,0,2015,3,8,9
2330,3.8,15.1,0.0,6.0,31.0,4.0,9.0,19.0,99.0,58.0,7.0,8.0,7.3,0,1.8,1,2015,3,8,10
2332,1.8,9.0,0.0,5.0,28.0,8.0,6.0,9.0,86.0,86.0,8.0,8.0,7.7,0,5.4,1,2015,3,8,12
2333,1.7,12.3,5.4,2.0,33.0,0.0,15.0,15.0,90.0,78.0,4.0,8.0,7.5,1,0.0,0,2015,3,8,13
2334,4.2,12.8,0.0,8.0,13.0,3.0,6.0,7.0,93.0,75.0,8.0,8.0,8.6,0,0.0,0,2015,3,8,14
2336,1.7,15.9,0.2,0.0,30.0,1.0,6.0,19.0,100.0,55.0,8.0,7.0,5.5,0,0.0,0,2015,3,8,16
2337,5.5,14.2,0.0,2.0,43.0,1.0,17.0,19.0,82.0,64.0,8.0,5.0,9.8,0,0.0,0,2015,3,8,17
2341,2.0,16.4,0.0,6.0,37.0,3.0,7.0,11.0,81.0,59.0,8.0,8.0,9.6,0,1.4,1,2015,3,8,21
2342,7.9,20.7,1.4,5.0,24.0,4.0,2.0,11.0,92.0,52.0,3.0,1.0,12.9,1,0.8,0,2015,3,8,22
2343,8.9,17.7,0.8,8.0,15.0,6.0,2.0,9.0,89.0,59.0,7.0,8.0,11.3,0,0.0,0,2015,3,8,23
2344,7.5,13.5,0.0,9.0,35.0,12.0,13.0,19.0,76.0,78.0,8.0,8.0,11.9,0,15.2,1,2015,3,8,24
2345,8.8,11.7,15.2,9.0,35.0,10.0,9.0,11.0,87.0,91.0,8.0,7.0,10.1,1,15.2,1,2015,3,8,25
2346,5.8,15.0,15.2,10.0,19.0,15.0,7.0,9.0,65.0,60.0,8.0,8.0,11.7,1,10.6,1,2015,3,8,26
2347,9.8,15.8,10.6,0.0,44.0,0.0,11.0,31.0,94.0,73.0,8.0,8.0,10.7,1,0.0,0,2015,3,8,27
2348,4.2,16.2,0.0,1.0,24.0,0.0,0.0,15.0,99.0,55.0,8.0,2.0,7.7,0,0.0,0,2015,3,8,28
2356,3.2,17.6,0.0,1.0,22.0,0.0,6.0,11.0,99.0,59.0,8.0,6.0,7.2,0,0.0,0,2015,3,9,5
2357,5.2,16.4,0.0,5.0,33.0,5.0,6.0,22.0,90.0,58.0,8.0,3.0,8.7,0,1.6,1,2015,3,9,6
2358,8.2,13.6,1.6,2.0,50.0,1.0,15.0,28.0,76.0,53.0,8.0,2.0,9.9,1,1.0,0,2015,3,9,7
2359,6.1,14.9,1.0,2.0,43.0,0.0,11.0,20.0,94.0,63.0,7.0,3.0,7.9,0,0.2,0,2015,3,9,8
2366,13.3,18.0,0.0,0.0,54.0,0.0,28.0,28.0,73.0,49.0,7.0,1.0,14.8,0,0.0,0,2015,3,9,15
2372,6.4,20.9,0.0,0.0,35.0,11.0,0.0,17.0,82.0,50.0,8.0,3.0,12.6,0,0.2,0,2015,3,9,21
2389,10.2,23.1,0.0,14.0,17.0,9.0,7.0,11.0,66.0,53.0,7.0,7.0,14.8,0,0.0,0,2015,4,10,8
2392,15.4,22.1,0.4,12.0,37.0,6.0,7.0,11.0,85.0,76.0,8.0,8.0,16.9,0,1.8,1,2015,4,10,11
2397,13.1,29.6,0.0,9.0,22.0,10.0,2.0,15.0,79.0,52.0,8.0,7.0,18.2,0,0.0,0,2015,4,10,16
2398,16.0,29.0,0.0,2.0,33.0,0.0,6.0,20.0,82.0,46.0,8.0,8.0,19.1,0,0.0,0,2015,4,10,17
2402,16.6,24.7,1.6,4.0,43.0,5.0,7.0,26.0,80.0,66.0,8.0,8.0,20.8,1,0.8,0,2015,4,10,21
2404,14.1,24.6,0.2,5.0,33.0,3.0,13.0,9.0,59.0,41.0,8.0,8.0,16.9,0,0.0,0,2015,4,10,23
2407,17.4,25.9,0.0,12.0,48.0,0.0,19.0,22.0,55.0,41.0,1.0,1.0,19.9,0,0.0,0,2015,4,10,26
2412,17.1,21.7,5.4,8.0,28.0,3.0,15.0,19.0,90.0,77.0,7.0,8.0,18.2,1,15.2,1,2015,4,10,31
2413,15.0,27.3,15.2,2.0,57.0,3.0,13.0,19.0,90.0,50.0,8.0,8.0,17.7,1,22.8,1,2015,4,11,1
2414,15.9,27.1,22.8,1.0,44.0,0.0,11.0,24.0,82.0,43.0,8.0,6.0,19.2,1,0.2,0,2015,4,11,2
2417,16.6,21.6,6.6,3.0,39.0,6.0,19.0,17.0,76.0,83.0,8.0,8.0,19.2,1,4.2,1,2015,4,11,5
2418,15.2,25.1,4.2,2.0,39.0,0.0,6.0,17.0,90.0,59.0,7.0,4.0,18.2,1,1.8,1,2015,4,11,6
2419,12.1,23.4,1.8,0.0,37.0,2.0,19.0,20.0,64.0,43.0,3.0,1.0,15.6,1,0.0,0,2015,4,11,7
2423,17.8,28.3,0.0,6.0,31.0,6.0,6.0,20.0,64.0,46.0,5.0,8.0,21.8,0,10.6,1,2015,4,11,11
2424,17.9,28.2,10.6,10.0,50.0,11.0,7.0,22.0,78.0,49.0,8.0,8.0,20.7,1,4.8,1,2015,4,11,12
2429,12.3,31.0,0.0,6.0,35.0,2.0,9.0,7.0,67.0,25.0,4.0,4.0,18.8,0,0.0,0,2015,4,11,17
2432,17.8,34.3,0.0,7.0,56.0,7.0,6.0,24.0,46.0,28.0,1.0,7.0,27.3,0,0.0,0,2015,4,11,20
2443,17.7,30.1,0.0,1.0,43.0,0.0,15.0,26.0,45.0,28.0,6.0,5.0,24.1,0,0.2,0,2015,4,12,1
2447,14.4,34.1,0.0,12.0,26.0,9.0,7.0,9.0,50.0,18.0,8.0,7.0,23.5,0,0.0,0,2015,4,12,5
2449,21.6,33.6,0.0,14.0,31.0,12.0,7.0,13.0,55.0,35.0,8.0,7.0,23.3,0,0.8,0,2015,4,12,7
2450,21.1,30.7,0.8,5.0,52.0,5.0,11.0,24.0,81.0,58.0,8.0,7.0,21.4,0,10.2,1,2015,4,12,8
2457,15.6,33.2,0.0,1.0,24.0,13.0,6.0,11.0,47.0,19.0,8.0,6.0,20.5,0,0.0,0,2015,4,12,15
2461,20.8,40.0,0.0,1.0,35.0,11.0,6.0,11.0,50.0,17.0,8.0,1.0,26.7,0,0.0,0,2015,4,12,19
2468,18.8,23.1,3.2,0.0,52.0,1.0,20.0,24.0,89.0,71.0,8.0,7.0,19.2,1,9.8,1,2015,4,12,26
2473,17.3,36.6,0.0,12.0,26.0,15.0,7.0,13.0,53.0,17.0,6.0,3.0,23.2,0,0.0,0,2015,4,12,31
2474,20.4,37.6,0.0,8.0,54.0,13.0,0.0,7.0,46.0,17.0,7.0,3.0,26.1,0,0.4,0,2016,1,1,1
2475,20.9,33.6,0.4,9.0,50.0,12.0,9.0,17.0,54.0,30.0,8.0,8.0,24.8,0,2.2,1,2016,1,1,2
2476,18.4,23.1,2.2,8.0,48.0,8.0,11.0,39.0,62.0,67.0,8.0,8.0,21.8,1,15.6,1,2016,1,1,3
2477,17.3,23.7,15.6,9.0,39.0,9.0,9.0,17.0,74.0,65.0,8.0,8.0,19.2,1,6.8,1,2016,1,1,4
2478,15.5,22.9,6.8,8.0,31.0,9.0,6.0,9.0,92.0,63.0,8.0,8.0,17.2,1,0.2,0,2016,1,1,5
2479,17.0,28.1,0.2,12.0,39.0,8.0,9.0,11.0,76.0,52.0,8.0,8.0,20.3,0,0.0,0,2016,1,1,6
2487,26.8,30.2,0.0,1.0,50.0,7.0,9.0,24.0,50.0,39.0,8.0,8.0,27.2,0,0.0,0,2016,1,1,14
2493,23.4,33.9,0.0,3.0,39.0,12.0,13.0,7.0,23.0,24.0,8.0,8.0,30.2,0,0.0,0,2016,1,1,20
2494,20.4,38.0,0.0,1.0,56.0,1.0,9.0,35.0,62.0,22.0,8.0,8.0,24.8,0,0.0,0,2016,1,1,21
2495,22.8,28.1,0.0,4.0,39.0,0.0,9.0,2.0,67.0,89.0,7.0,8.0,24.2,0,12.6,1,2016,1,1,22
2500,18.5,25.7,19.4,0.0,37.0,14.0,9.0,17.0,96.0,65.0,8.0,8.0,18.9,1,4.2,1,2016,1,1,27
2501,17.7,31.7,4.2,1.0,35.0,3.0,0.0,13.0,83.0,47.0,7.0,1.0,20.8,1,0.0,0,2016,1,1,28
2502,17.1,24.2,0.0,0.0,48.0,1.0,7.0,24.0,77.0,72.0,7.0,7.0,20.7,0,0.0,0,2016,1,1,29
2504,13.8,24.2,7.0,1.0,48.0,4.0,17.0,26.0,79.0,48.0,8.0,6.0,16.9,1,28.6,1,2016,1,1,31
2505,13.0,26.1,28.6,9.0,28.0,7.0,17.0,13.0,88.0,47.0,8.0,2.0,14.7,1,0.2,0,2016,1,2,1
2507,19.8,25.8,0.0,9.0,31.0,14.0,6.0,13.0,67.0,74.0,7.0,8.0,22.4,0,0.4,0,2016,1,2,3
2528,22.5,40.9,0.0,4.0,54.0,4.0,7.0,30.0,43.0,15.0,4.0,1.0,28.3,0,0.0,0,2016,1,2,24
2529,22.4,36.4,0.0,11.0,43.0,2.0,7.0,15.0,38.0,36.0,8.0,7.0,28.3,0,0.2,0,2016,1,2,25
2536,16.7,35.0,0.0,4.0,50.0,14.0,9.0,7.0,37.0,24.0,7.0,8.0,25.3,0,0.0,0,2016,1,3,3
2539,20.5,37.1,0.0,6.0,46.0,9.0,6.0,11.0,54.0,29.0,8.0,8.0,25.7,0,0.2,0,2016,1,3,6
2542,18.7,38.3,0.0,2.0,39.0,1.0,9.0,20.0,49.0,24.0,1.0,2.0,25.7,0,0.0,0,2016,1,3,9
2543,24.6,36.8,0.0,5.0,41.0,12.0,4.0,9.0,54.0,27.0,8.0,5.0,26.1,0,0.6,0,2016,1,3,10
2544,20.0,32.3,0.6,0.0,46.0,3.0,9.0,20.0,70.0,43.0,2.0,8.0,24.5,0,6.6,1,2016,1,3,11
2545,20.0,34.0,6.6,10.0,28.0,14.0,7.0,7.0,80.0,45.0,8.0,4.0,23.1,1,0.2,0,2016,1,3,12
2553,12.7,24.2,0.0,9.0,31.0,10.0,20.0,17.0,50.0,29.0,6.0,1.0,15.3,0,0.0,0,2016,1,3,20
2557,14.2,25.1,0.0,9.0,20.0,9.0,0.0,13.0,69.0,47.0,5.0,6.0,17.8,0,0.2,0,2016,1,3,24
2558,15.5,28.4,0.2,0.0,35.0,0.0,0.0,22.0,85.0,39.0,2.0,1.0,16.6,0,0.0,0,2016,1,3,25
2572,11.4,19.7,0.0,0.0,17.0,2.0,0.0,9.0,66.0,64.0,5.0,4.0,13.7,0,0.4,0,2016,2,4,8
2582,10.6,25.7,3.8,6.0,28.0,3.0,9.0,11.0,72.0,36.0,1.0,2.0,16.5,1,0.0,0,2016,2,4,18
2586,12.8,23.6,3.6,12.0,31.0,12.0,7.0,13.0,97.0,46.0,8.0,3.0,16.5,1,0.0,0,2016,2,4,22
2592,11.7,28.5,0.0,5.0,28.0,4.0,0.0,13.0,70.0,32.0,8.0,2.0,15.7,0,0.0,0,2016,2,4,28
2593,12.1,26.9,0.0,11.0,59.0,13.0,2.0,7.0,68.0,92.0,1.0,8.0,17.3,0,8.6,1,2016,2,4,29
2594,16.8,23.4,8.6,5.0,30.0,5.0,2.0,19.0,100.0,64.0,8.0,8.0,17.9,1,4.0,1,2016,2,4,30
2595,13.2,20.0,4.0,5.0,63.0,0.0,30.0,28.0,74.0,46.0,3.0,4.0,16.7,1,0.0,0,2016,2,5,1
2596,3.8,16.9,0.0,5.0,26.0,4.0,7.0,15.0,88.0,44.0,5.0,8.0,9.7,0,0.0,0,2016,2,5,2
2599,10.5,20.3,0.0,15.0,19.0,12.0,7.0,9.0,73.0,45.0,8.0,1.0,12.7,0,0.0,0,2016,2,5,5
2602,13.9,18.2,13.2,3.0,41.0,6.0,13.0,26.0,100.0,98.0,7.0,8.0,14.7,1,46.0,1,2016,2,5,8
2603,14.7,18.3,46.0,1.0,54.0,1.0,17.0,4.0,90.0,73.0,8.0,1.0,17.9,1,13.4,1,2016,2,5,9
2604,13.4,17.3,13.4,4.0,54.0,0.0,22.0,22.0,85.0,69.0,8.0,8.0,14.8,1,2.2,1,2016,2,5,10
2605,9.3,15.8,2.2,1.0,43.0,1.0,13.0,24.0,82.0,63.0,7.0,8.0,11.0,1,2.0,1,2016,2,5,11
2606,10.8,17.2,2.0,4.0,44.0,0.0,17.0,19.0,96.0,86.0,8.0,8.0,14.4,1,0.2,0,2016,2,5,12
2608,8.7,20.3,0.0,3.0,48.0,5.0,0.0,11.0,91.0,64.0,6.0,8.0,12.6,0,0.0,0,2016,2,5,14
2610,6.3,20.4,0.0,3.0,26.0,5.0,0.0,13.0,100.0,47.0,8.0,1.0,10.0,0,4.8,1,2016,2,5,16
2612,8.0,17.3,0.0,11.0,24.0,0.0,4.0,11.0,80.0,57.0,4.0,8.0,12.6,0,0.0,0,2016,2,5,18
2613,8.3,17.3,0.0,1.0,39.0,1.0,0.0,17.0,82.0,63.0,8.0,8.0,12.1,0,0.0,0,2016,2,5,19
2617,10.4,15.8,3.0,1.0,59.0,2.0,28.0,26.0,75.0,55.0,8.0,8.0,13.5,1,0.0,0,2016,2,5,23
